label	frame	needle	count	rows
pi	31	Reply exactly: Hello!	1	22
pi	31	Working...	0	
pi	31	Hello!	2	22,25
pi	31	$0.000 (sub) 0.0%/272k	0	
pipy	32	Reply exactly: Hello!	1	16
pipy	32	Working...	0	
pipy	32	Hello!	2	16,19
pipy	32	$0.000 (sub) 0.0%/272k	0	
pi	32	Reply exactly: Hello!	1	22
pi	32	Working...	0	
pi	32	Hello!	2	22,25
pi	32	$0.000 (sub) 0.0%/272k	0	
pipy	33	Reply exactly: Hello!	1	16
pipy	33	Working...	0	
pipy	33	Hello!	2	16,19
pipy	33	$0.000 (sub) 0.0%/272k	0	
pi	33	Reply exactly: Hello!	1	22
pi	33	Working...	0	
pi	33	Hello!	2	22,25
pi	33	$0.000 (sub) 0.0%/272k	0	
pipy	34	Reply exactly: Hello!	1	16
pipy	34	Working...	0	
pipy	34	Hello!	2	16,19
pipy	34	$0.000 (sub) 0.0%/272k	0	
pi	34	Reply exactly: Hello!	1	22
pi	34	Working...	0	
pi	34	Hello!	2	22,25
pi	34	$0.000 (sub) 0.0%/272k	0	
pipy	35	Reply exactly: Hello!	1	16
pipy	35	Working...	0	
pipy	35	Hello!	2	16,19
pipy	35	$0.000 (sub) 0.0%/272k	0	
pi	35	Reply exactly: Hello!	1	22
pi	35	Working...	0	
pi	35	Hello!	2	22,25
pi	35	$0.000 (sub) 0.0%/272k	0	
pipy	36	Reply exactly: Hello!	1	16
pipy	36	Working...	0	
pipy	36	Hello!	2	16,19
pipy	36	$0.000 (sub) 0.0%/272k	0	
pi	36	Reply exactly: Hello!	1	22
pi	36	Working...	0	
pi	36	Hello!	2	22,25
pi	36	$0.000 (sub) 0.0%/272k	0	
pipy	37	Reply exactly: Hello!	1	16
pipy	37	Working...	0	
pipy	37	Hello!	2	16,19
pipy	37	$0.000 (sub) 0.0%/272k	0	
pi	37	Reply exactly: Hello!	1	22
pi	37	Working...	0	
pi	37	Hello!	2	22,25
pi	37	$0.000 (sub) 0.0%/272k	0	
pipy	38	Reply exactly: Hello!	1	16
pipy	38	Working...	0	
pipy	38	Hello!	2	16,19
pipy	38	$0.000 (sub) 0.0%/272k	0	
pi	38	Reply exactly: Hello!	1	22
pi	38	Working...	0	
pi	38	Hello!	2	22,25
pi	38	$0.000 (sub) 0.0%/272k	0	
pipy	39	Reply exactly: Hello!	1	16
pipy	39	Working...	0	
pipy	39	Hello!	2	16,19
pipy	39	$0.000 (sub) 0.0%/272k	0	
pi	39	Reply exactly: Hello!	1	22
pi	39	Working...	0	
pi	39	Hello!	2	22,25
pi	39	$0.000 (sub) 0.0%/272k	0	
